Candidate ID,Title,Final Score
CAND_0000031,Recommendation Systems Engineer,91.5
CAND_0000001,Backend Engineer,58.5
CAND_0000026,Graphic Designer,40
CAND_0000020,Mechanical Engineer,36
CAND_0000010,Data Engineer,33.5
CAND_0000030,Marketing Manager,33.5
CAND_0000004,Marketing Manager,31.5
CAND_0000021,Project Manager,31.5
CAND_0000018,Frontend Engineer,31
CAND_0000024,HR Manager,31
CAND_0000042,HR Manager,31
CAND_0000043,Cloud Engineer,31
CAND_0000019,Project Manager,29
CAND_0000034,Business Analyst,28.5
CAND_0000037,Business Analyst,28.5
CAND_0000038,Java Developer,28.5
CAND_0000029,Business Analyst,28
CAND_0000046,Mechanical Engineer,28
CAND_0000015,Software Engineer,27.5
CAND_0000014,Frontend Engineer,27
CAND_0000032,.NET Developer,27
CAND_0000045,Project Manager,27
CAND_0000023,Software Engineer,26.5
CAND_0000033,Graphic Designer,26.5
CAND_0000006,Business Analyst,24
CAND_0000025,Frontend Engineer,23.5
CAND_0000005,Accountant,23
CAND_0000041,Operations Manager,23
CAND_0000016,Accountant,22.5
CAND_0000027,DevOps Engineer,22
CAND_0000049,Mechanical Engineer,21.5
CAND_0000002,Operations Manager,21
CAND_0000044,Frontend Engineer,21
CAND_0000048,Mobile Developer,21
CAND_0000008,Operations Manager,20.5
CAND_0000009,Mechanical Engineer,20.5
CAND_0000050,Business Analyst,20.5
CAND_0000039,Marketing Manager,19.5
CAND_0000007,Civil Engineer,19
CAND_0000036,Project Manager,19
CAND_0000011,QA Engineer,18.5
CAND_0000022,Mechanical Engineer,16
CAND_0000035,Full Stack Developer,15.5
CAND_0000017,Accountant,13.5
CAND_0000013,Civil Engineer,13
CAND_0000040,Customer Support,10.5
CAND_0000047,Project Manager,10.5
CAND_0000028,Operations Manager,9.5
CAND_0000003,Customer Support,8.5
CAND_0000012,Operations Manager,6.5
